RECORD_NO,LISTING_ID,HOST_ID
2018-000153STR,14538591,41376640
2018-000155STR,2760935,
2018-000159STR,45097972,159753287
2018-000169STR,21309142,154222319
2018-000182STR,4026354,20860681
2018-000194STR,25094,103339
2018-000202STR,20305889,72387792
2018-000209STR,11532945,27335724
2018-000224STR,21799941,649296
2018-000233STR,21650740,4350837
2018-000240STR,21558062,6764564
2018-000244STR,22718099,167608343
2018-000249STR,43818495,66107483
2018-000274STR,16897598,30348808
2018-000278STR,21233544,1852503
2018-000290STR,19039703,67285076
2018-000296STR,18757463,31243021
2018-000305STR,22066724,274619
2018-000306STR,26095551,196142120
2018-000314STR,3759246,19246456
2018-000324STR,21866860,159507011
2018-000331STR,21935870,160087266
2018-000344STR,19285250,21196676
2018-000346STR,8472666,1155340
2018-000349STR,22229654,148590346
2018-000350STR,29990041,163339428
2018-000353STR,22230201,162419166
2018-000355STR,28407357,5610543
2018-000369STR,11752686,719360
2018-000378STR,32518108,17965378
2018-000399STR,22003066,127422643
2018-000416STR,14008953,1374982
2018-000431STR,21837830,835115
2018-000432STR,12725886,16921530
2018-000593STR,22555972,128030152
2018-000626STR,2477787,9294456
2018-000749STR,22904891,
2018-001040STR,24758727,5576792
2018-001350STR,8907289,6664188
2018-001475STR,2139562,8037793
2018-001570STR,10469182,34963239
2018-001685STR,30346332,
2018-001751STR,24309390,156562268
2018-001999STR,15330348,97717942
2018-002541STR,17421876,61184414
2018-002543STR,10524804,536549
2018-002545STR,15903424,88656778
2018-002556STR,18587279,5020253
2018-002557STR,18450146,4624326
2018-002788STR,11845487,6001829
2018-002912STR,408471,530786
2018-002996STR,27652652,148708603
2018-002997STR,1975404,10197471
2018-003609STR,3832296,4722846
2018-003617STR,5151423,21573962
2018-003708STR,11659435,12780333
2018-003728STR,7020637,13872501
2018-003788STR,17305040,1590064
2018-003945STR,23567834,135551998
2018-003998STR,25485559,156102468
2018-004234STR,9882522,9134629
2018-004343STR,765914,4038852
2018-004373STR,522089,2567585
2018-004414STR,23303083,3138116
2018-004654STR,20154622,36377843
2018-004791STR,6970746,36470371
2018-004799STR,46120105,
2018-004802STR,21276107,
2018-004813STR,7386838,26325096
2018-004814STR,4616596,21499033
2018-004817STR,17979286,7198062
2018-004820STR,8864274,46398210
2018-004838STR,3761446,8056326
2018-004844STR,8041262,40413092
2018-004845STR,22110217,7772037
2018-004848STR,1506702,2228453
2018-004849STR,25621756,10624702
2018-004855STR,5749839,12740147
2018-004872STR,482592,2389112
2018-004881STR,26236436,
2018-004884STR,23087617,2711732
2018-004893STR,23240184,170765678
2018-004895STR,19979690,19799378
2018-004896STR,8889145,32828946
2018-004897STR,25058405,95227196
2018-004901STR,26084506,1857594
2018-004905STR,23861410,179265384
2018-004910STR,23255383,3596929
2018-004913STR,19721472,118373919
2018-004914STR,32983188,988375
2018-004920STR,6163821,6884446
2018-004926STR,6653474,475974
2018-004929STR,23914311,8873381
2018-004930STR,39969068,26687266
2018-004938STR,10929061,56658434
2018-004939STR,24162999,7426517
2018-004944STR,16160696,
2018-004946STR,23907104,68135323
2018-004947STR,23354077,39759525
2018-004948STR,5591544,587173
2018-004952STR,23685560,
2018-004955STR,23209264,23741447
2018-004972STR,26202021,8567391
2018-004976STR,10367010,53358593
2018-004977STR,4052091,1792703
2018-004987STR,6016647,1862130
2018-004994STR,19040,
2018-005002STR,9608262,49716827
2018-005010STR,6529234,8077748
2018-005022STR,12155285,2915179
2018-005044STR,12368621,
2018-005046STR,3384413,17074573
2018-005048STR,22554459,165727609
2018-005054STR,18397875,58033584
2018-005078STR,15957623,30075056
2018-005106STR,1203849,6575901
2018-005114STR,19273465,2902835
2018-005119STR,13603043,2019781
2018-005122STR,6911587,1661839
2018-005128STR,22536998,
2018-005143STR,17444930,1291823
2018-005145STR,31717158,10267172
2018-005153STR,13641058,33387303
2018-005173STR,12110830,64946886
2018-005176STR,11911651,63549522
2018-005179STR,11513111,60672876
2018-005189STR,22608611,26932354
2018-005193STR,16700935,4244521
2018-005217STR,21812815,84387679
2018-005224STR,14323059,69455081
2018-005229STR,22375226,2253513
2018-005234STR,23235919,55485389
2018-005235STR,7764531,4202870
2018-005251STR,5537718,10665750
2018-005261STR,22214202,16440250
2018-005263STR,22328157,163243187
2018-005293STR,19721174,139005195
2018-005621STR,27727846,81226014
2018-006189STR,8775500,7366597
2018-006356STR,23946104,9106943
2018-006851STR,25403706,1692184
2018-006852STR,25432375,188173660
2018-006978STR,23672181,6378008
2018-008211STR,26277460,197349922
2018-008314STR,17925808,122392376
2018-008558STR,22532009,158469625
2018-009713STR,7933807,33948993
2018-009786STR,19240799,134711248
2018-009840STR,314368,1229762
2018-010039STR,37911325,19506404
2018-010229STR,24599232,64996654
2018-010237STR,25749954,187334221
2018-010254STR,27826583,8570927
2018-010256STR,35286441,50247302
2018-010308STR,25229521,71409832
2018-010360STR,5174935,26766881
2018-010407STR,530857,2607120
2018-010420STR,29937571,52175364
2018-010437STR,20591785,25824429
2018-010495STR,16326624,392456
2018-010526STR,15037623,83553465
2018-010676STR,20765941,65528821
2018-010684STR,19163190,134008463
2018-010685STR,28363410,208796981
2018-010733STR,4418649,22936081
2018-010795STR,42254451,44389179
2018-010796STR,323635,812808
2018-010868STR,21252479,8357805
2018-011107STR,7181655,37624778
2018-011107STR,7181655,37624778
2018-011150STR,1578597,8390846
2018-011154STR,132441,650862
2018-011259STR,13239272,1099605
2018-011390STR,27510287,207430416
2018-011524STR,25419563,28190541
2018-011535STR,27960744,122565703
2018-011694STR,28490107,141784
2018-011764STR,21766603,29125334
2018-011830STR,10834961,
2018-011869STR,25808640,46412254
2018-011932STR,37220516,13682309
2018-012245STR,9922088,
2018-012334STR,24782542,5503776
2018-012408STR,28028464,2239870
2018-012578STR,26950540,202781607
2018-012732STR,30713782,
2018-012792STR,29886292,
2018-012855STR,24099520,181489269
2018-013156STR,1344243,7292289
2018-013167STR,25511111,236978
2018-013231STR,24000340,295976
2018-013481STR,34424480,2094461
2018-013496STR,22665446,2990879
2018-013579STR,31759412,223365296
2018-013605STR,35773458,218088604
2018-013738STR,377569,1897399
2018-013787STR,26278521,197555079
2018-014014STR,30822730,16156154
2018-014222STR,3759368,17120264
2018-014278STR,25288190,
2018-014304STR,21629749,19071477
2018-014314STR,26718900,44956536
2018-014322STR,14760041,92031637
2018-014421STR,22986895,9032873
2018-014552STR,30469161,139272777
2018-014790STR,41431867,137698280
2018-014797STR,32192300,201430482
2018-014832STR,32075650,240551393
2018-014895STR,29797894,23626101
2018-014983STR,31120211,7074942
2018-015086STR,26004362,20767323
2018-015137STR,28390797,48618681
2018-015226STR,40169734,6576675
2018-015262STR,24828324,20583271
2018-015272STR,28141014,3097323
2018-015284STR,28489872,4392149
2018-015304STR,28444017,22368313
2018-015501STR,1104912,6068306
2018-015559STR,307837,1583952
2018-015580STR,457862,2276059
2018-015593STR,31055670,231980369
2018-015594STR,26624972,38746503
2018-015595STR,5345792,4253502
2018-015675STR,27370273,7787162
2018-015678STR,26385989,1120983
2018-015680STR,24853005,2411447
2018-015681STR,36302028,
2018-015705STR,20258481,38757653
2018-015710STR,28338407,64868395
2018-015816STR,6364873,28786427
2018-015826STR,25921225,629004
2018-015832STR,479415,350839
2018-015857STR,28259229,6093410
2018-015978STR,27310099,98332773
2018-015992STR,6376338,33232844
2018-016056STR,19872447,99053939
2018-016104STR,4199015,1572409
