RECORD_ID,REGISTER,STR
2015-012649STR,STR-0000489,489
2015-011426STR,STR-0000490,490
2015-012633STR,STR-0000491,491
2015-013063STR,STR-0000492,492
2015-007109STR,STR-0000493,493
2015-008707STR,STR-0000494,494
2015-010094STR,STR-0000495,495
2015-016551STR,STR-0000496,496
2015-018451STR,STR-0000497,497
2016-000579STR,STR-0000498,498
2016-000169STR,STR-0000499,499
2015-004284STR,STR-0000500,500
2015-004530STR,STR-0000501,501
2015-003387STR,STR-0000502,502
2015-002872STR,STR-0000503,503
2015-003431STR,STR-0000504,504
2015-005783STR,STR-0000505,505
2015-005811STR,STR-0000506,506
2015-003563STR,STR-0000507,507
2015-005154STR,STR-0000508,508
2015-005628STR,STR-0000509,509
2015-005647STR,STR-0000510,510
2015-005624STR,STR-0000511,511
2015-005635STR,STR-0000512,512
2015-006020STR,STR-0000513,513
2015-006017STR,STR-0000514,514
2015-006008STR,STR-0000515,515
2015-006176STR,STR-0000516,516
2015-006167STR,STR-0000517,517
2015-006295STR,STR-0000518,518
2015-006656STR,STR-0000519,519
2015-006647STR,STR-0000520,520
2015-004043STR,STR-0000521,521
2015-005120STR,STR-0000522,522
2015-007307STR,STR-0000523,523
2015-005070STR,STR-0000524,524
2015-007594STR,STR-0000525,525
2015-006043STR,STR-0000526,526
2015-007569STR,STR-0000527,527
2015-007267STR,STR-0000528,528
2015-004118STR,STR-0000529,529
2015-007605STR,STR-0000530,530
2015-006537STR,STR-0000531,531
2015-004066STR,STR-0000532,532
2015-004736STR,STR-0000533,533
2015-002302STR,STR-0000534,534
2015-003677STR,STR-0000535,535
2015-004277STR,STR-0000536,536
2015-004794STR,STR-0000537,537
2015-002283STR,STR-0000538,538
2015-007932STR,STR-0000539,539
2015-007071STR,STR-0000540,540
2015-007939STR,STR-0000541,541
2015-007918STR,STR-0000542,542
2015-007889STR,STR-0000543,543
2015-007902STR,STR-0000544,544
2015-008042STR,STR-0000545,545
2015-008072STR,STR-0000546,546
2015-003413STR,STR-0000547,547
2015-008197STR,STR-0000548,548
2015-008230STR,STR-0000549,549
2015-008324STR,STR-0000550,550
2015-008344STR,STR-0000551,551
2015-008356STR,STR-0000552,552
2015-008228STR,STR-0000553,553
2015-008332STR,STR-0000554,554
2015-004745STR,STR-0000555,555
2015-002854STR,STR-0000556,556
2015-002930STR,STR-0000557,557
2015-003194STR,STR-0000558,558
2015-004382STR,STR-0000559,559
2015-003730STR,STR-0000560,560
2015-008347STR,STR-0000561,561
2015-008060STR,STR-0000562,562
2015-004396STR,STR-0000563,563
2015-008196STR,STR-0000564,564
2015-008544STR,STR-0000565,565
2015-004677STR,STR-0000567,567
2015-004678STR,STR-0000568,568
2015-005289STR,STR-0000569,569
2015-008240STR,STR-0000570,570
2015-005632STR,STR-0000571,571
2015-008723STR,STR-0000572,572
2015-008704STR,STR-0000573,573
2015-008563STR,STR-0000574,574
2015-008666STR,STR-0000575,575
2015-008676STR,STR-0000576,576
2015-008682STR,STR-0000577,577
2015-008686STR,STR-0000578,578
2015-007060STR,STR-0000579,579
2015-008863STR,STR-0000580,580
2015-008872STR,STR-0000581,581
2015-008878STR,STR-0000582,582
