"RECORD ID","DATE STATUS","DATE CLOSED","RECORD STATUS DATE","RECORD STATUS"
"2018-014991STR","2/27/2019","2/27/2019","2/27/2019","Closed - Complete"
"2018-015084STR","11/2/2018","11/2/2018","11/2/2018","Closed - Complete"
"2018-015086STR","11/5/2018","11/5/2018","11/5/2018","Closed - Complete"
"2018-015119STR","11/5/2018","11/5/2018","11/5/2018","Closed - Complete"
"2018-015137STR","4/22/2019","4/22/2019","4/22/2019","Closed - Complete"
"2018-015226STR","11/6/2018","11/6/2018","11/6/2018","Closed - Complete"
"2018-015235STR","11/13/2018","11/13/2018","11/13/2018","Closed - Complete"
"2018-015244STR","11/7/2018","11/7/2018","11/7/2018","Closed - Complete"
"2018-015262STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-015272STR","12/21/2018","12/21/2018","12/21/2018","Closed - Complete"
"2018-015277STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-015284STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-015304STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-015309STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-015360STR","11/8/2018","11/8/2018","11/8/2018","Closed - Complete"
"2018-015490STR","11/13/2018","11/13/2018","11/13/2018","Closed - Complete"
"2018-015501STR","11/13/2018","11/13/2018","11/13/2018","Closed - Complete"
"2018-015527STR","11/13/2018","11/13/2018","11/13/2018","Closed - Complete"
"2018-015553STR","11/14/2018","11/14/2018","11/14/2018","Closed - Complete"
"2018-015559STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015569STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015580STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015586STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015588STR","11/14/2018","11/14/2018","11/14/2018","Closed - Complete"
"2018-015592STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015593STR","4/1/2019","4/1/2019","4/1/2019","Closed - Complete"
"2018-015594STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015595STR","1/9/2019","1/9/2019","1/9/2019","Closed - Complete"
"2018-015675STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015678STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015680STR","11/15/2018","11/15/2018","11/15/2018","Closed - Complete"
"2018-015681STR","8/19/2019","8/19/2019","8/19/2019","Closed - Complete"
"2018-015705STR","11/19/2018","11/19/2018","11/19/2018","Closed - Complete"
"2018-015710STR","11/19/2018","11/19/2018","11/19/2018","Closed - Complete"
"2018-015718STR","11/19/2018","11/19/2018","11/19/2018","Closed - Complete"
"2018-015816STR","11/20/2018","11/20/2018","11/20/2018","Closed - Complete"
"2018-015826STR","11/20/2018","11/20/2018","11/20/2018","Closed - Complete"
"2018-015832STR","11/20/2018","11/20/2018","11/20/2018","Closed - Complete"
"2018-015857STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-015865STR","12/27/2018","12/27/2018","12/27/2018","Closed - Complete"
"2018-015888STR","11/26/2018","11/26/2018","11/26/2018","Closed - Complete"
"2018-015897STR","11/26/2018","11/26/2018","11/26/2018","Closed - Complete"
"2018-015937STR","11/26/2018","11/26/2018","11/26/2018","Closed - Complete"
"2018-015978STR","11/27/2018","11/27/2018","11/27/2018","Closed - Complete"
"2018-016022STR","11/27/2018","11/27/2018","11/27/2018","Closed - Complete"
"2018-016056STR","11/30/2018","11/30/2018","11/30/2018","Closed - Complete"
"2018-016102STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016104STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016151STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016156STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016181STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016186STR","11/30/2018","11/30/2018","11/30/2018","Closed - Complete"
"2018-016187STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016189STR","11/29/2018","11/29/2018","11/29/2018","Closed - Complete"
"2018-016236STR","11/30/2018","11/30/2018","11/30/2018","Closed - Complete"
"2018-016238STR","11/30/2018","11/30/2018","11/30/2018","Closed - Complete"
"2018-016250STR","11/30/2018","11/30/2018","11/30/2018","Closed - Complete"
"2018-016254STR","12/3/2018","12/3/2018","12/3/2018","Closed - Complete"
"2018-016283STR","12/3/2018","12/3/2018","12/3/2018","Closed - Complete"
"2018-016288STR","2/14/2019","2/14/2019","2/14/2019","Closed - Complete"
"2018-016294STR","12/3/2018","12/3/2018","12/3/2018","Closed - Complete"
"2018-016326STR","12/4/2018","12/4/2018","12/4/2018","Closed - Complete"
"2018-016344STR","12/4/2018","12/4/2018","12/4/2018","Closed - Complete"
"2018-016393STR","12/5/2018","12/5/2018","12/5/2018","Closed - Complete"
"2018-016405STR","12/5/2018","12/5/2018","12/5/2018","Closed - Complete"
"2018-016410STR","12/7/2018","12/7/2018","12/7/2018","Closed - Complete"
"2018-016446STR","12/7/2018","12/7/2018","12/7/2018","Closed - Complete"
"2018-016474STR","5/21/2019","5/21/2019","5/21/2019","Closed - Complete"
"2018-016484STR","12/7/2018","12/7/2018","12/7/2018","Closed - Complete"
"2018-016559STR","3/20/2019","3/20/2019","3/20/2019","Closed - Complete"
"2018-016563STR","12/11/2018","12/11/2018","12/11/2018","Closed - Complete"
"2018-016595STR","12/11/2018","12/11/2018","12/11/2018","Closed - Complete"
"2018-016602STR","12/10/2018","12/10/2018","12/10/2018","Closed - Complete"
"2018-016603STR","12/12/2018","12/12/2018","12/12/2018","Closed - Complete"
"2018-016684STR","12/11/2018","12/11/2018","12/11/2018","Closed - Complete"
"2018-016685STR","3/27/2019","3/27/2019","3/27/2019","Closed - Complete"
"2018-016686STR","12/11/2018","12/11/2018","12/11/2018","Closed - Complete"
"2018-016715STR","12/12/2018","12/12/2018","12/12/2018","Closed - Complete"
"2018-016733STR","7/24/2019","7/24/2019","7/24/2019","Closed - Complete"
"2018-016746STR","1/3/2019","1/3/2019","1/3/2019","Closed - Complete"
"2018-016759STR","12/12/2018","12/12/2018","12/12/2018","Closed - Complete"
"2018-016830STR","12/14/2018","12/14/2018","12/14/2018","Closed - Complete"
"2018-016838STR","12/14/2018","12/14/2018","12/14/2018","Closed - Complete"
"2018-016840STR","12/14/2018","12/14/2018","12/14/2018","Closed - Complete"
"2018-016853STR","12/14/2018","12/14/2018","12/14/2018","Closed - Complete"
"2018-016885STR","12/14/2018","12/14/2018","12/14/2018","Closed - Complete"
"2018-016971STR","12/17/2018","12/17/2018","12/17/2018","Closed - Complete"
"2018-017035STR","12/21/2018","12/21/2018","12/21/2018","Closed - Complete"
"2018-017038STR","12/20/2018","12/20/2018","12/20/2018","Closed - Complete"
"2018-017042STR","12/20/2018","12/20/2018","12/20/2018","Closed - Complete"
"2018-017050STR","12/20/2018","12/20/2018","12/20/2018","Closed - Complete"
