b1_alt_id,EXISTING_GPROC_SD_STP_NUM,EXISTING_GPROC_SD_PRO_DES,NEW_SPROC_SD_PRO_ID1,EXISTING_GPROC_SD_PROD_ID1,NEW_SPROC_SD_NXT_ID1,EXISTING_GPROC_SD_NXT_ID1,SD_PRO_DES,SD_APP_DES,RELATION_SEQ_ID
13085_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13085_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-001328ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-001328ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-001328ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
2015-002220ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-002220ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-002220ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
2015-004591ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete,13316
2015-004591ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-004591ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-005370ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-005370ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-005370ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
2015-005519ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete - Violation Abated,13316
2015-005519ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-005519ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-005559ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2015-005559ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-005559ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
2015-005650ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete - Violation Abated,13316
2015-005650ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-005650ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-006380ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
2015-006380ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-006380ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-007000ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
2015-007000ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-007000ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
2015-007587ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Under Review,13316
2015-007587ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-007587ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-007923ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
2015-007923ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-007923ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-008140ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete,13316
2015-008140ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-008140ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-008539ENF,2,Analysis,15000000000000,16001000000000,17018000000000,17000000000000,Analysis,Analysis Complete,13316
2015-008539ENF,8,Completion Processing,18000000000000,17000000000000,00000000000000,13000000000000,Completion Processing,Closed,13316
2015-009417ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
2015-009417ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-009417ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-009815ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete,13316
2015-009815ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
2015-009815ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
2015-010144ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
2015-010144ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2015-010144ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
2015-010558ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete - Violation Abated,13316
