RECORD_NO,LISTING_ID,HOST_ID,web,Service,what
2015-005644STR,33134275,241554551,https://www.airbnb.com/rooms/33134275,Airbnb,161
2015-005675STR,4808522,16222607,https://www.airbnb.com/rooms/4808522,Airbnb,162
2015-005702STR,1728497,100800,https://www.airbnb.com/rooms/1728497,Airbnb,163
2015-005736STR,1598872,8523981,https://www.airbnb.com/rooms/1598872,Airbnb,164
2015-005739STR,6272816,7965809,https://www.airbnb.com/rooms/6272816,Airbnb,165
2015-005758STR,7514742,39370274,https://www.airbnb.com/rooms/7514742,Airbnb,166
2015-006295STR,6119683,15490809,https://www.airbnb.com/rooms/6119683,Airbnb,167
2015-006656STR,6523507,6777981,https://www.airbnb.com/rooms/6523507,Airbnb,168
2015-007048STR,5853587,16022933,https://www.airbnb.com/rooms/5853587,Airbnb,169
2015-007060STR,6543813,34224937,https://www.airbnb.com/rooms/6543813,Airbnb,170
2015-007283STR,6324586,32912359,https://www.airbnb.com/rooms/6324586,Airbnb,171
2015-007438STR,3116428,2436652,https://www.airbnb.com/rooms/3116428,Airbnb,172
2015-007451STR,2783251,14235899,https://www.airbnb.com/rooms/2783251,Airbnb,173
2015-007560STR,6915497,36237660,https://www.airbnb.com/rooms/6915497,Airbnb,174
2015-007592STR,8167459,42713588,https://www.airbnb.com/rooms/8167459,Airbnb,175
2015-007595STR,6335352,580236,https://www.airbnb.com/rooms/6335352,Airbnb,176
2015-007902STR,21745893,5689322,https://www.airbnb.com/rooms/21745893,Airbnb,177
2015-008042STR,6985131,36060750,https://www.airbnb.com/rooms/6985131,Airbnb,178
2015-008197STR,6938818,36381578,https://www.airbnb.com/rooms/6938818,Airbnb,179
2015-008230STR,664315,3355966,https://www.airbnb.com/rooms/664315,Airbnb,180
2015-008318STR,19753187,97159379,https://www.airbnb.com/rooms/19753187,Airbnb,181
2015-008671STR,6782479,35506418,https://www.airbnb.com/rooms/6782479,Airbnb,182
2015-008686STR,3994686,10374314,https://www.airbnb.com/rooms/3994686,Airbnb,183
2015-008890STR,22175258,34799523,https://www.airbnb.com/rooms/22175258,Airbnb,184
