RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1981.227C,9/10/1981,Approved,9132,Approved
1981.229C,9/3/1981,Approved,9129,Approved
1981.230V,9/16/1981,Approved,,Approved
1981.231V,9/16/1981,Disapproved,,Disapproved
1981.240C,7/2/1981,Approved,9030,Approved
1981.242V,8/16/1981,Approved,,Approved
1981.243V,10/22/1981,Approved,,Approved
1981.245A,7/19/1984,Approved,10064,Approved
1981.245D,7/19/1984,Approved,10064,Approved
1981.255V,9/30/1981,Approved,,Approved
1981.258V,11/17/1981,Approved,,Approved
1981.276V,9/30/1981,Disapproved,,Disapproved
1981.277V,9/28/1981,Approved,,Approved
1981.278C,10/8/1981,Approved,,Approved
1981.278C,8/20/1981,Approved,9105,Approved
1981.282V,3/5/1982,Disapproved,,Disapproved
1981.283C,8/13/1981,Approved,9095,Approved
1981.284V,5/13/1982,Approved,,Approved
1981.287V,3/8/1982,Approved,,Approved
1981.294C,10/1/1981,Approved,9170,Approved
1981.297C,5/14/1984,Withdawn,,Withdawn
1981.307C,10/1/1981,Approved,9130,Approved
1981.309C,10/1/1981,Approved,9175,Approved
1981.330V,8/28/1981,Approved,,Approved
1981.331C,8/13/1981,Approved,9093,Approved
1981.334C,11/5/1981,Approved,9213,Approved
1981.334V,11/16/1981,Approved,,Approved
1981.339C,11/12/1981,Approved,9226,Approved
1981.340C,10/8/1981,Disapproved,9182,Disapproved
1981.355V,9/1/1981,Approved,,Approved
1981.359V,9/2/1981,Approved,,Approved
1981.360C,9/17/1981,Approved,9152,Approved
1981.366V,11/30/1981,Disapproved,,Disapproved
1981.367C,5/6/1982,Approved,9381,Approved
1981.370V,8/27/1981,Approved,,Approved
1981.373V,9/24/1981,Approved,,Approved
1981.374V,8/31/1981,Approved,,Approved
1981.375V,2/18/1982,Approved,,Approved
1981.377V,11/17/1981,Disapproved,,Disapproved
1981.378V,10/14/1981,Approved,,Approved
1981.379V,4/16/1982,Disapproved,,Disapproved
1981.380V,9/17/1981,Approved,,Approved
1981.381V,3/1/1982,Approved,,Approved
1981.382V,10/6/1981,Disapproved,,Disapproved
1981.383C,9/3/1981,Approved,9128,Approved
1981.384V,9/22/1981,Disapproved,,Disapproved
1981.386V,2/10/1982,Disapproved,,Disapproved
1981.387V,9/24/1981,Disapproved,,Disapproved
1981.392V,6/9/1982,Approved,,Approved
1981.394V,1/5/1982,Approved,,Approved
1981.397V,9/30/1981,Approved,,Approved
1981.398V,9/28/1981,Approved,,Approved
1981.400C,8/18/1983,Approved,9792,Approved
1981.409C,12/10/1981,Approved,9261,Approved
1981.412V,11/23/1981,Approved,,Approved
1981.415V,8/17/1982,Approved,,Approved
1981.418C,10/1/1981,Approved,9174,Approved
1981.421V,12/18/1981,Approved,,Approved
1981.429C,11/19/1981,Approved,9231,Approved
1981.430C,11/19/1981,Approved,9229,Approved
1981.431V,12/9/1981,Approved,,Approved
1981.439V,10/29/1981,Approved,,Approved
1981.447V,7/12/1982,Approved,,Approved
1981.449C,7/8/1982,Approved,9448,Approved
1981.453V,2/23/1982,Approved,,Approved
1981.456C,11/19/1981,Approved,9228,Approved
1981.457V,10/5/1981,Approved,,Approved
1981.461C,1/20/1983,Approved,9610,Approved
1981.476V,11/16/1981,Disapproved,,Disapproved
1981.482C,11/19/1981,Disapproved,9234,Disapproved
1981.483V,10/16/1981,Approved,,Approved
1981.489V,10/28/1981,Approved,,Approved
1981.490V,8/3/1982,Disapproved,,Disapproved
1981.491V,7/8/1983,Approved,,Approved
1981.500C,3/25/1982,Approved,9354,Approved
1981.501C,9/19/1981,Approved,9232,Approved
1981.503C,11/12/1981,Approved,9221,Approved
1981.504V,10/27/1981,Disapproved,,Disapproved
1981.508V,10/27/1981,Approved,,Approved
1981.509V,11/17/1981,Disapproved,,Disapproved
1981.511V,11/18/1981,Approved,,Approved
1981.512V,11/18/1981,Approved,,Approved
1981.514V,10/26/1981,Approved,,Approved
1981.515V,11/13/1981,Approved,,Approved
1981.516C,11/19/1981,Approved,9230,Approved
1981.524C,4/15/1982,Approved,9370,Approved
1981.527V,12/11/1981,Approved,,Approved
1981.531V,12/17/1981,Approved,,Approved
1981.537V,12/17/1981,Approved,,Approved
1981.541V,12/3/1981,Approved,,Approved
1981.552V,7/21/1982,Approved,,Approved
1981.553V,12/9/1981,Disapproved,,Disapproved
1981.554C,12/3/1981,Approved,9246,Approved
1981.556V,3/4/1982,Disapproved,,Disapproved
1981.557B,12/10/1981,Approved,9259,Approved
1981.557C,12/10/1981,Approved,9258,Approved
1981.558V,4/12/1982,Disapproved,,Disapproved
1981.563C,12/3/1981,Disapproved,9243,Disapproved
1981.566V,7/29/1982,Disapproved,,Disapproved
1981.567C,9/2/1982,Approved,9495,Approved
1981.567V,10/28/1982,Approved,,Approved
1981.569V,10/15/1982,Approved,,Approved
1981.571V,5/4/1982,Approved,,Approved
1981.572V,12/30/1981,Disapproved,,Disapproved
1981.573V,12/14/1981,Approved,,Approved
1981.574V,1/14/1982,Approved,,Approved
1981.576V,2/9/1982,Approved,,Approved
1981.581C,7/7/1983,Approved,9739,Approved
1981.583C,6/17/1982,Approved,9431,Approved
1981.587C,8/5/1982,Approved,9274,Approved
1981.589C,12/3/1981,Approved,9245,Approved
1981.591C,10/20/1983,Approved,9846,Approved
1981.593V,12/17/1981,Approved,,Approved
1981.595C,1/7/1982,Approved,9275,Approved
1981.604C,5/20/1982,Approved,9399,Approved
1981.604V,11/15/1982,Approved,,Approved
1981.607V,3/8/1982,Disapproved,,Disapproved
1981.609C,9/30/1982,Approved,9522,Approved
1981.614C,1/21/1982,Disapproved,9287,Disapproved
1981.616V,2/11/1982,Approved,,Approved
1981.623V,5/4/1982,Approved,,Approved
1981.632C,5/24/1984,Approved,10021,Approved
1981.632V,5/6/1985,Approved,,Approved
1981.633C,1/7/1982,Approved,9270,Approved
1981.634V,12/28/1981,Approved,,Approved
1981.635V,12/28/1981,Disapproved,,Disapproved
1981.642V,2/4/1982,Disapproved,,Disapproved
1981.643C,1/7/1982,Approved,9274,Approved
1981.651C,2/4/1982,Approved,9295,Approved
1981.655V,12/2/1982,Approved,,Approved
1981.665V,3/16/1982,Approved,,Approved
1981.668V,2/17/1982,Approved,,Approved
1981.669V,2/22/1982,Approved,,Approved
1981.670V,2/9/1982,Approved,,Approved
1981.671V,1/30/1982,Approved,,Approved
1981.673C,11/10/1982,Approved,9553,Approved
1981.674C,2/4/1982,Approved,9298,Approved
1981.677V,3/11/1982,Disapproved,,Disapproved
1981.681V,2/11/1982,Approved,,Approved
