RECORD ID,RECORD NAME,BAN Checklist
2018-005091STR,4525 Lincoln Way 2nd floor,1016207
2020-004502STR,890  Chestnut Street,1016211
2018-005085STR,1030 Washington Street Apt #2,1016221
2019-018571STR,1030 Washington Street Apt #2,1016221
2019-019062STR,1030 Washington Street Apt #2,1016221
2019-020255STR,104 3rd Avenue,1016393
2019-022919STR,104 3rd Avenue,1016393
2018-000065STR,440 Sawyer Street,1016520
2015-009818STR,469 Church Street,1016564
2020-005073STR,469 Church,1016564
2019-020447STR,1221 Bosworth St,1016680
2018-000066STR,51 kissling street,1016691
2018-004864STR,142 Guerrero Street DUPLICATE,1016846
2019-019873STR,142 Guerrero,1016846
2019-021522STR,142 Guerrero Street,1016846
2019-020335STR,1342 Broadway,1016894
2019-022797STR,1342 Broadway,1016894
2019-021507STR,"88 Guy Place, APT 206",1016949
2018-000067STR,3750 Market Street,1017128
2019-020513STR,322 Graystone Terrace,1017310
2020-004590STR,322 Graystone Terrace,1017310
2019-020472STR,172 Day St,1017352
2018-000068STR,170 Valley Street,1017534
2018-001327STR,2315 Broadway STR,1017548
2019-018225STR,2315 Broadway,1017548
2019-018716STR,2315 Broadway,1017548
2019-019356STR,2315 Broadway,1017548
2018-011150STR,801 RHODE ISLAND STREET,1017603
2019-021046STR,"25 Sierra St, Unit E 208",1017667
2018-000069STR,2049 Oak Street Apt 3,1018056
2019-019258STR,2049 Oak Street Unit 3,1018056
2019-022362STR,952 Capp Street,1018111
2019-020510STR,135 Knollview Way,1018283
2019-020428STR,2250 Mason Street,1018401
2018-005067STR,685 8th Avenue,1018491
2019-018271STR,685 8th Avenue,1018491
2019-018762STR,685 8th Avenue,1018491
2018-005057STR,828 Alabama Street,1018511
2019-020437STR,60 Rausch St Unit 410,1018796
2020-001012STR,60 Rausch St Unit 410,1018796
2020-005062STR,712 Foerster Street,1018906
2019-020348STR,2855 BRYANT ST.,1018913
2020-004412STR,2855 Bryant Street,1018913
2020-003083STR,388 Texas Street,1019010
2019-018419STR,50 Hancock Street Unit B,1019012
2019-018910STR,50 Hancock Street Unit B,1019012
