"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"2015-007587ENF","2401 24th St - Group Housing / Office","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2015-007587ENF","2401 24th St - Group Housing / Office","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2015-007587ENF","2401 24th St - Group Housing / Office","Analysis","Under Review","017001000000000","019018000000000","Under Review"
"2015-007923ENF","20 Broderick Street","Completion Processing","NULL","019000000000000","000013000000000","Pending Review"
"2015-007923ENF","20 Broderick Street","On Hold","NULL","018000000000000","017000000000000","Pending Review"
"2015-007923ENF","20 Broderick Street","Analysis","NULL","017001000000000","019018000000000","Pending Review"
"2015-008140ENF","1200 Indiana Street","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2015-008140ENF","1200 Indiana Street","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-008140ENF","1200 Indiana Street","Analysis","Analysis Complete","017001000000000","019018000000000","Pending Closure"
"2015-008539ENF","void","Completion Processing","Closed","017000000000000","000013000000000","Void"
"2015-008539ENF","void","Analysis","Analysis Complete","016001000000000","017000000000000","Void"
"2015-009417ENF","120A Linda Street Illegal Short-Term Rentals by Owner","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"2015-009417ENF","120A Linda Street Illegal Short-Term Rentals by Owner","On Hold","NULL","018000000000000","017000000000000","Under Review"
"2015-009417ENF","120A Linda Street Illegal Short-Term Rentals by Owner","Analysis","NULL","017001000000000","019018000000000","Under Review"
"2015-009815ENF","503 Andover - fence","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2015-009815ENF","503 Andover - fence","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-009815ENF","503 Andover - fence","Analysis","Analysis Complete","017001000000000","019018000000000","Pending Closure"
"2015-010144ENF","2336 North Point Street Illegal Short-Term Rentals","Completion Processing","NULL","019000000000000","000013000000000","Pending Review"
"2015-010144ENF","2336 North Point Street Illegal Short-Term Rentals","On Hold","NULL","018000000000000","017000000000000","Pending Review"
"2015-010144ENF","2336 North Point Street Illegal Short-Term Rentals","Analysis","NULL","017001000000000","019018000000000","Pending Review"
"2015-010558ENF","DU Merger","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2015-010558ENF","DU Merger","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-010558ENF","DU Merger","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
"2015-011264ENF","1465 REVERE AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011264ENF","1465 REVERE AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011264ENF","1465 REVERE AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011267ENF","1351 REVERE AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011267ENF","1351 REVERE AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011267ENF","1351 REVERE AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011268ENF","1824 JENNINGS ST","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011268ENF","1824 JENNINGS ST","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011268ENF","1824 JENNINGS ST","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011269ENF","1395 SHAFTER AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012037ENF","1049 Market Street - Unit 403","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012037ENF","1049 Market Street - Unit 403","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-012037ENF","1049 Market Street - Unit 403","Analysis","Under Review","017001000000000","019018000000000","On Hold"
"2015-012594ENF","AAU signs","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012594ENF","AAU signs","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-012594ENF","AAU signs","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-012595ENF","AAU signs","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-012595ENF","AAU signs","On Hold","NULL","018000000000000","017000000000000","On Hold"
